shop_id,customer_id,transaction_id,amount,date
SHOP_001,C0742,T10001,561.0,2026-07-06
SHOP_001,C0084,T10002,646.0,2026-07-06
SHOP_001,C0847,T10003,428.0,2026-07-06
SHOP_001,C0721,T10004,312.0,2026-07-06
SHOP_001,C0312,T10005,605.0,2026-07-06
SHOP_001,C0266,T10006,319.0,2026-07-06
SHOP_001,C0285,T10007,789.0,2026-07-06
SHOP_001,C0180,T10008,456.0,2026-07-06
SHOP_001,C0661,T10009,456.0,2026-07-06
SHOP_001,C0343,T10010,284.0,2026-07-06
SHOP_001,C0556,T10011,635.0,2026-07-06
SHOP_001,C0112,T10012,1097.0,2026-07-06
SHOP_001,C0135,T10013,318.0,2026-07-06
SHOP_001,C0597,T10014,726.0,2026-07-06
SHOP_001,C0940,T10015,240.0,2026-07-06
SHOP_001,C0831,T10016,531.0,2026-07-06
SHOP_001,C0080,T10017,455.0,2026-07-06
SHOP_001,C0714,T10018,566.0,2026-07-06
SHOP_001,C0744,T10019,476.0,2026-07-06
SHOP_001,C0870,T10020,458.0,2026-07-06
SHOP_001,C0809,T10021,1123.0,2026-07-06
SHOP_001,C0661,T10022,451.0,2026-07-07
SHOP_001,C0723,T10023,372.0,2026-07-07
SHOP_001,C0477,T10024,644.0,2026-07-07
SHOP_001,C0026,T10025,1188.0,2026-07-07
SHOP_001,C0988,T10026,614.0,2026-07-07
SHOP_001,C0716,T10027,785.0,2026-07-07
SHOP_001,C0719,T10028,334.0,2026-07-07
SHOP_001,C0510,T10029,529.0,2026-07-07
SHOP_001,C0012,T10030,751.0,2026-07-07
SHOP_001,C0766,T10031,677.0,2026-07-07
SHOP_001,C0397,T10032,364.0,2026-07-07
SHOP_001,C0140,T10033,576.0,2026-07-07
SHOP_001,C0763,T10034,411.0,2026-07-07
SHOP_001,C0780,T10035,1128.0,2026-07-07
SHOP_001,C0609,T10036,825.0,2026-07-07
SHOP_001,C0512,T10037,345.0,2026-07-07
SHOP_001,C0509,T10038,553.0,2026-07-07
SHOP_001,C0553,T10039,886.0,2026-07-07
SHOP_001,C0227,T10040,522.0,2026-07-08
SHOP_001,C0591,T10041,466.0,2026-07-08
SHOP_001,C0142,T10042,627.0,2026-07-08
SHOP_001,C0763,T10043,450.0,2026-07-08
SHOP_001,C0456,T10044,466.0,2026-07-08
SHOP_001,C0657,T10045,717.0,2026-07-08
SHOP_001,C0636,T10046,459.0,2026-07-08
SHOP_001,C0989,T10047,479.0,2026-07-08
SHOP_001,C0025,T10048,434.0,2026-07-08
SHOP_001,C0745,T10049,566.0,2026-07-08
SHOP_001,C0719,T10050,230.0,2026-07-08
SHOP_001,C0900,T10051,428.0,2026-07-08
SHOP_001,C0741,T10052,276.0,2026-07-08
SHOP_001,C0593,T10053,563.0,2026-07-08
SHOP_001,C0359,T10054,682.0,2026-07-08
SHOP_001,C0249,T10055,333.0,2026-07-08
SHOP_001,C0677,T10056,1206.0,2026-07-09
SHOP_001,C0460,T10057,276.0,2026-07-09
SHOP_001,C0873,T10058,416.0,2026-07-09
SHOP_001,C0240,T10059,523.0,2026-07-09
SHOP_001,C0373,T10060,449.0,2026-07-09
SHOP_001,C0294,T10061,526.0,2026-07-09
SHOP_001,C0548,T10062,486.0,2026-07-09
SHOP_001,C0762,T10063,867.0,2026-07-09
SHOP_001,C0489,T10064,1010.0,2026-07-09
SHOP_001,C0780,T10065,566.0,2026-07-09
SHOP_001,C0140,T10066,336.0,2026-07-09
SHOP_001,C0912,T10067,448.0,2026-07-09
SHOP_001,C0105,T10068,466.0,2026-07-09
SHOP_001,C0924,T10069,846.0,2026-07-09
SHOP_001,C0311,T10070,542.0,2026-07-09
SHOP_001,C0539,T10071,476.0,2026-07-09
SHOP_001,C0012,T10072,1158.0,2026-07-09
SHOP_001,C0601,T10073,438.0,2026-07-09
SHOP_001,C0625,T10074,331.0,2026-07-09
SHOP_001,C0112,T10075,742.0,2026-07-09
SHOP_001,C0940,T10076,335.0,2026-07-10
SHOP_001,C0831,T10077,676.0,2026-07-10
SHOP_001,C0188,T10078,361.0,2026-07-10
SHOP_001,C0341,T10079,864.0,2026-07-10
SHOP_001,C0157,T10080,421.0,2026-07-10
SHOP_001,C0254,T10081,342.0,2026-07-10
SHOP_001,C0528,T10082,404.0,2026-07-10
SHOP_001,C0956,T10083,460.0,2026-07-10
SHOP_001,C0071,T10084,805.0,2026-07-10
SHOP_001,C0088,T10085,1332.0,2026-07-10
SHOP_001,C0099,T10086,1024.0,2026-07-10
SHOP_001,C0466,T10087,928.0,2026-07-10
SHOP_001,C0763,T10088,717.0,2026-07-10
SHOP_001,C0442,T10089,461.0,2026-07-10
SHOP_001,C0423,T10090,587.0,2026-07-10
SHOP_001,C0716,T10091,1102.0,2026-07-10
SHOP_001,C0019,T10092,767.0,2026-07-10
SHOP_001,C0073,T10093,481.0,2026-07-10
SHOP_001,C0198,T10094,408.0,2026-07-10
SHOP_001,C0768,T10095,714.0,2026-07-10
SHOP_001,C0442,T10096,891.0,2026-07-10
SHOP_001,C0787,T10097,551.0,2026-07-10
SHOP_001,C0990,T10098,907.0,2026-07-10
SHOP_001,C0953,T10099,893.0,2026-07-10
SHOP_001,C0286,T10100,472.0,2026-07-10
SHOP_001,C0903,T10101,328.0,2026-07-10
SHOP_001,C0396,T10102,590.0,2026-07-10
SHOP_001,C0860,T10103,377.0,2026-07-10
SHOP_001,C0380,T10104,351.0,2026-07-10
SHOP_001,C0861,T10105,1013.0,2026-07-10
SHOP_001,C0919,T10106,432.0,2026-07-10
SHOP_001,C0648,T10107,689.0,2026-07-10
SHOP_001,C0087,T10108,863.0,2026-07-10
SHOP_001,C0931,T10109,369.0,2026-07-10
SHOP_001,C0655,T10110,448.0,2026-07-10
SHOP_001,C0166,T10111,1045.0,2026-07-10
SHOP_001,C0305,T10112,781.0,2026-07-10
SHOP_001,C0105,T10113,717.0,2026-07-10
SHOP_001,C0406,T10114,566.0,2026-07-10
SHOP_001,C0999,T10115,707.0,2026-07-10
SHOP_001,C0703,T10116,596.0,2026-07-10
SHOP_001,C0661,T10117,698.0,2026-07-11
SHOP_001,C0370,T10118,361.0,2026-07-11
SHOP_001,C0440,T10119,565.0,2026-07-11
SHOP_001,C0073,T10120,591.0,2026-07-11
SHOP_001,C0718,T10121,490.0,2026-07-11
SHOP_001,C0112,T10122,588.0,2026-07-11
SHOP_001,C0347,T10123,746.0,2026-07-11
SHOP_001,C0805,T10124,493.0,2026-07-11
SHOP_001,C0714,T10125,597.0,2026-07-11
SHOP_001,C0426,T10126,401.0,2026-07-11
SHOP_001,C0835,T10127,324.0,2026-07-11
SHOP_001,C0352,T10128,896.0,2026-07-11
SHOP_001,C0648,T10129,447.0,2026-07-11
SHOP_001,C0213,T10130,463.0,2026-07-11
SHOP_001,C0353,T10131,1059.0,2026-07-11
SHOP_001,C0870,T10132,652.0,2026-07-11
SHOP_001,C0961,T10133,569.0,2026-07-11
SHOP_001,C0990,T10134,438.0,2026-07-11
SHOP_001,C0683,T10135,370.0,2026-07-11
SHOP_001,C0190,T10136,551.0,2026-07-11
SHOP_001,C0557,T10137,433.0,2026-07-11
SHOP_001,C0844,T10138,701.0,2026-07-11
SHOP_001,C0163,T10139,554.0,2026-07-11
SHOP_001,C0943,T10140,377.0,2026-07-11
SHOP_001,C0872,T10141,754.0,2026-07-11
SHOP_001,C0199,T10142,401.0,2026-07-11
SHOP_001,C0489,T10143,598.0,2026-07-11
SHOP_001,C0724,T10144,500.0,2026-07-11
SHOP_001,C0753,T10145,590.0,2026-07-11
SHOP_001,C0435,T10146,803.0,2026-07-11
SHOP_001,C0359,T10147,413.0,2026-07-11
SHOP_001,C0932,T10148,873.0,2026-07-11
SHOP_001,C0180,T10149,547.0,2026-07-11
SHOP_001,C0832,T10150,786.0,2026-07-11
SHOP_001,C0811,T10151,444.0,2026-07-11
SHOP_001,C0935,T10152,293.0,2026-07-11
SHOP_001,C0288,T10153,510.0,2026-07-11
SHOP_001,C0623,T10154,362.0,2026-07-11
SHOP_001,C0677,T10155,498.0,2026-07-11
SHOP_001,C0143,T10156,509.0,2026-07-11
SHOP_001,C0337,T10157,939.0,2026-07-11
SHOP_001,C0685,T10158,370.0,2026-07-12
SHOP_001,C0683,T10159,495.0,2026-07-12
SHOP_001,C0183,T10160,741.0,2026-07-12
SHOP_001,C0180,T10161,351.0,2026-07-12
SHOP_001,C0352,T10162,464.0,2026-07-12
SHOP_001,C0723,T10163,350.0,2026-07-12
SHOP_001,C0659,T10164,454.0,2026-07-12
SHOP_001,C0089,T10165,464.0,2026-07-12
SHOP_001,C0852,T10166,372.0,2026-07-12
SHOP_001,C0019,T10167,472.0,2026-07-12
SHOP_001,C0294,T10168,438.0,2026-07-12
SHOP_001,C0427,T10169,971.0,2026-07-12
SHOP_001,C0408,T10170,459.0,2026-07-12
SHOP_001,C0440,T10171,738.0,2026-07-12
SHOP_001,C0031,T10172,857.0,2026-07-12
SHOP_001,C0066,T10173,740.0,2026-07-12
SHOP_001,C0374,T10174,916.0,2026-07-12
SHOP_001,C0316,T10175,435.0,2026-07-12
SHOP_001,C0651,T10176,587.0,2026-07-12
SHOP_001,C0475,T10177,247.0,2026-07-12
SHOP_001,C0910,T10178,296.0,2026-07-12
SHOP_001,C0142,T10179,575.0,2026-07-12
SHOP_001,C0966,T10180,610.0,2026-07-12
SHOP_001,C0080,T10181,643.0,2026-07-12
SHOP_001,C0903,T10182,455.0,2026-07-12
SHOP_001,C0741,T10183,645.0,2026-07-12
SHOP_001,C0621,T10184,744.0,2026-07-12
SHOP_001,C0793,T10185,790.0,2026-07-12
SHOP_001,C0024,T10186,482.0,2026-07-12
SHOP_001,C0716,T10187,690.0,2026-07-12
SHOP_001,C0744,T10188,520.0,2026-07-12
SHOP_001,C0949,T10189,476.0,2026-07-12
SHOP_001,C0663,T10190,512.0,2026-07-12
SHOP_001,C0779,T10191,563.0,2026-07-12
SHOP_001,C0414,T10192,494.0,2026-07-13
SHOP_001,C0753,T10193,638.0,2026-07-13
SHOP_001,C0305,T10194,684.0,2026-07-13
SHOP_001,C0353,T10195,797.0,2026-07-13
SHOP_001,C0657,T10196,724.0,2026-07-13
SHOP_001,C0968,T10197,670.0,2026-07-13
SHOP_001,C0506,T10198,214.0,2026-07-13
SHOP_001,C0554,T10199,592.0,2026-07-13
SHOP_001,C0130,T10200,723.0,2026-07-13
SHOP_001,C0435,T10201,585.0,2026-07-13
SHOP_001,C0681,T10202,257.0,2026-07-13
SHOP_001,C0487,T10203,490.0,2026-07-13
SHOP_001,C0524,T10204,394.0,2026-07-13
SHOP_001,C0767,T10205,394.0,2026-07-13
SHOP_001,C0459,T10206,514.0,2026-07-14
SHOP_001,C0492,T10207,655.0,2026-07-14
SHOP_001,C0767,T10208,356.0,2026-07-14
SHOP_001,C0444,T10209,935.0,2026-07-14
SHOP_001,C0359,T10210,1168.0,2026-07-14
SHOP_001,C0791,T10211,618.0,2026-07-14
SHOP_001,C0984,T10212,385.0,2026-07-14
SHOP_001,C0498,T10213,806.0,2026-07-14
SHOP_001,C0066,T10214,654.0,2026-07-14
SHOP_001,C0066,T10215,531.0,2026-07-14
SHOP_001,C0967,T10216,280.0,2026-07-14
SHOP_001,C0686,T10217,580.0,2026-07-14
SHOP_001,C0080,T10218,1057.0,2026-07-14
SHOP_001,C0618,T10219,629.0,2026-07-14
SHOP_001,C0732,T10220,730.0,2026-07-14
SHOP_001,C0279,T10221,295.0,2026-07-14
SHOP_001,C0771,T10222,899.0,2026-07-15
SHOP_001,C0592,T10223,652.0,2026-07-15
SHOP_001,C0869,T10224,414.0,2026-07-15
SHOP_001,C0331,T10225,373.0,2026-07-15
SHOP_001,C0539,T10226,529.0,2026-07-15
SHOP_001,C0732,T10227,387.0,2026-07-15
SHOP_001,C0352,T10228,838.0,2026-07-15
SHOP_001,C0418,T10229,491.0,2026-07-15
SHOP_001,C0426,T10230,398.0,2026-07-15
SHOP_001,C0166,T10231,793.0,2026-07-15
SHOP_001,C0496,T10232,518.0,2026-07-15
SHOP_001,C0498,T10233,720.0,2026-07-15
SHOP_001,C0570,T10234,1023.0,2026-07-15
SHOP_001,C0426,T10235,410.0,2026-07-16
SHOP_001,C0753,T10236,706.0,2026-07-16
SHOP_001,C0040,T10237,695.0,2026-07-16
SHOP_001,C0919,T10238,404.0,2026-07-16
SHOP_001,C0805,T10239,408.0,2026-07-16
SHOP_001,C0479,T10240,675.0,2026-07-16
SHOP_001,C0841,T10241,342.0,2026-07-16
SHOP_001,C0202,T10242,699.0,2026-07-16
SHOP_001,C0304,T10243,426.0,2026-07-16
SHOP_001,C0660,T10244,567.0,2026-07-16
